165 	 44 
ID 	NL/450/88 	BE/353/89 	GU/54/89 	NL/620/89 	HK/34/90 	VI/2/90 	LY/1149/91 	BE/32A/92 	BE/32V/92 	BE/32B/92 	GD/25/93 	MA/G252/93 	OS/2352/93 	SD/9/93 	JO/33/94 	NL/18/94 	PR/413/94 	FI/338/95 	GE/A9509/95 	LY/2279/95 	NA/933/95 	NL/1/95 	NL/47/95 	NL/218/95 	WU/359B/95 	BR/8/96 	NL/172/96 	SP/1/96 	AU/10/97 	NL/286/97 	SY/5A/97 	SY/5B/97 	SY/5HAY/97 	SY/5V/97 	NL/5/98 	MW/10/99 	PM/2007/99 	NL/118/01 	NL/124/01 	NL/126/01 	FU/411/02 	NL/1/02 	NL/22/03 	NL/88/03 
SA/23/92 	320 	640 	0 	640 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	10 	<5 	0 	0 	20 	0 	<5 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
SA/27/92 	160 	640 	0 	640 	0 	640 	0 	0 	0 	0 	0 	0 	0 	20 	20 	0 	0 	40 	0 	40 	<5 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
SE/C273/92 	<10 	0 	0 	40 	226 	<40 	0 	306 	0 	320 	80 	40 	0 	1197 	160 	10 	0 	480 	0 	35 	0 	0 	0 	0 	0 	0 	35 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ST/7/92 	320 	640 	0 	5120 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	20 	<5 	0 	0 	<5 	0 	<5 	<5 	0 	0 	0 	0 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ST/8/92 	160 	640 	0 	1280 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	60 	30 	0 	0 	60 	0 	20 	<5 	0 	0 	0 	0 	0 	30 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ST/12/92 	80 	320 	0 	320 	640 	<40 	20 	905 	0 	0 	320 	0 	0 	1693 	733 	80 	0 	1197 	0 	160 	20 	0 	0 	0 	0 	0 	80 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ST/13/92 	2560 	1280 	0 	640 	0 	1280 	1280 	20 	0 	0 	0 	0 	0 	70 	<10 	0 	0 	20 	0 	<10 	<5 	0 	0 	0 	0 	0 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
TI/5957/92 	640 	1280 	0 	3620 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	40 	15 	0 	0 	35 	0 	10 	10 	0 	0 	0 	0 	0 	15 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
UM/1982/92 	640 	640 	0 	2560 	0 	640 	1280 	40 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
UM/2000/92 	640 	640 	0 	2560 	320 	1280 	2560 	28 	0 	80 	0 	10 	0 	80 	15 	0 	0 	30 	0 	15 	<5 	0 	0 	0 	0 	0 	18 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
